Perseverance,Being able to come up with new and different ideas is one of my strong points.,My friends say that I have lots of new and different ideas. ,I know how to handle myself in different social situations.,I enjoy being kind to others.,I finish things despite obstacles in the way.,I rarely call attention to myself.,I like to think of new ways to do things.,I know that I will succeed with the goals I set for myself.,What ATAR did you expect to achieve in your final year of highschool? (round up value),What IB did you expect to achieve in your final year of highschool? (round up value),What ATAR did you actually achieve in your final year of highschool? (round up value),What IB did you actually achieve in your final year of highschool? (round up value)
Like me,Unlike me,Unlike me,Very like me,Very like me,Like me,Very like me,Like me,Unlike me,1,29,1,29
Like me,Very like me,Very like me,Very like me,Like me,Very like me,Unlike me,Very like me,Very like me,85,1,70,1
Very like me,Unlike me,Unlike me,Like me,Like me,Like me,Very like me,Unlike me,Unlike me,70,0,83,0
Very like me,Very like me,Very like me,Like me,Very like me,Unlike me,Like me,Very like me,Unlike me,0,30,0,29
Like me,Very like me,Very like me,Like me,Very like me,Very like me,Unlike me,Like me,Very like me,94,0,98,0
Very like me,Like me,Like me,Unlike me,Very like me,Unlike me,Like me,Like me,Like me,85,0,78,0
Like me,Unlike me,Unlike me,Like me,Very like me,Very like me,Like me,Like me,Like me,90,0,85,0
Like me,Very like me,Like me,Very like me,Very like me,Very like me,Like me,Unlike me,Like me,90,0,89,0
Like me,Like me,Like me,Like me,Very like me,Very like me,Unlike me,Like me,Very like me,86,0,82,0
Like me,Very like me,Very like me,Like me,Very like me,Like me,Unlike me,Like me,Like me,75,0,73,0
Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,99,0,99,9
Like me,Unlike me,Like me,Unlike me,Like me,Like me,Like me,Like me,Like me,0,0,0,0
Very unlike me,Very unlike me,Very unlike me,Very unlike me,Very unlike me,Very unlike me,Very unlike me,Very unlike me,Very unlike me,99,0,30,0
Unlike me,Like me,Like me,Very like me,Very like me,Very like me,Like me,Like me,Like me,95,0,97.6,0
Unlike me,Like me,Like me,Very like me,Like me,Very like me,Like me,Like me,Very like me,0,45,0,45
Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,99,0,99,0
Like me,Very like me,Like me,Like me,Very like me,Very like me,Like me,Like me,Very like me,85,0,84,0
Like me,Very unlike me,Unlike me,Very like me,Very like me,Like me,Like me,Unlike me,Like me,85,0,90,0
Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,98,0,98,0
Very like me,Like me,Like me,Very like me,Very like me,Very like me,Like me,Very like me,Very like me,92,0,94,0
Very like me,Very like me,Like me,Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,80,0,98.4,0
Like me,Unlike me,Unlike me,Like me,Very like me,Like me,Like me,Unlike me,Unlike me,85,0,80,0
Like me,Very like me,Very like me,Like me,Very like me,Like me,Like me,Like me,Like me,0,0,0,0
Like me,Unlike me,Like me,Like me,Very like me,Like me,Like me,Very like me,Like me,95,0,97,0
Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,95,0,99,0
Very like me,Like me,Like me,Like me,Very like me,Like me,Like me,Like me,Like me,75,0,76,0
Very unlike me,Very unlike me,Very unlike me,Very unlike me,Very unlike me,Very unlike me,Very unlike me,Very unlike me,Very unlike me,7,0,3,0
Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,Very unlike me,Very like me,Very like me,99,0,99,0
Like me,Like me,Very like me,Like me,Very like me,Like me,Like me,Very like me,Like me,90,0,95,0
Like me,Unlike me,Unlike me,Unlike me,Like me,Like me,Like me,Unlike me,Unlike me,0,0,0,0
Very unlike me,Like me,Like me,Like me,Very like me,Like me,Like me,Like me,Like me,1,2,3,4
Unlike me,Like me,Very like me,Like me,Very like me,Like me,Like me,Like me,Very unlike me,91,0,75,0
Very like me,Like me,Very like me,Like me,Very like me,Like me,Very like me,Very like me,Like me,95,0,95,0
Like me,Like me,Unlike me,Very like me,Like me,Like me,Like me,Like me,Like me,80,0,85,0
Very unlike me,Very like me,Very like me,Very like me,Very like me,Very like me,Very unlike me,Very like me,Very like me,99,0,99,0
Very like me,Very like me,Like me,Very like me,Like me,Very like me,Like me,Very like me,Like me,92,0,95,0
Unlike me,Unlike me,Unlike me,Very unlike me,Like me,Like me,Very like me,Unlike me,Unlike me,80,0,90,0
Unlike me,Like me,Like me,Like me,Very like me,Like me,Like me,Like me,Very like me,0,0,0,0
Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,85,0,70,0
Very like me,Like me,Unlike me,Very like me,Very like me,Very like me,Like me,Unlike me,Very like me,90,0,96,0
Like me,Very like me,Very like me,Very like me,Very like me,Very like me,Unlike me,Like me,Like me,0,10,0,45
Very unlike me,Very unlike me,Very unlike me,Very unlike me,Very unlike me,Very unlike me,Very unlike me,Very unlike me,Very unlike me,1,2,1,1
Unlike me,Like me,Like me,Like me,Very like me,Like me,Very like me,Like me,Like me,85,0,90.2,0
Like me,Like me,Like me,Very like me,Like me,Like me,Like me,Like me,Like me,99,0,95,0
Like me,Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,0,43,0,41
Like me,Unlike me,Very unlike me,Very unlike me,Like me,Like me,Like me,Like me,Unlike me,95,0,99,0
Unlike me,Unlike me,Unlike me,Unlike me,Like me,Like me,Like me,Unlike me,Unlike me,85,0,97,0
Unlike me,Like me,Very like me,Like me,Very like me,Very like me,Very like me,Like me,Very like me,85,0,81,0
Very like me,Unlike me,Unlike me,Like me,Very like me,Like me,Like me,Like me,Like me,85,0,96,0
Unlike me,Like me,Like me,Very like me,Like me,Like me,Like me,Unlike me,Unlike me,99,0,97,0
Like me,Very like me,Like me,Very like me,Very like me,Like me,Unlike me,Very like me,Like me,99,0,99,0
Like me,Very unlike me,Very unlike me,Very unlike me,Like me,Very unlike me,Very like me,Very unlike me,Very unlike me,98,0,96,0
Unlike me,Like me,Like me,Unlike me,Like me,Like me,Like me,Like me,Like me,99,0,99,0
Very like me,Very like me,Like me,Like me,Like me,Unlike me,Like me,Like me,Like me,99,0,87,0
Like me,Like me,Very like me,Like me,Very like me,Like me,Unlike me,Like me,Like me,93,0,88,0
Like me,Like me,Like me,Very unlike me,Unlike me,Very like me,Like me,Like me,Unlike me,88,0,99,0
Like me,Very like me,Like me,Unlike me,Like me,Like me,Very like me,Like me,Unlike me,98,0,99,0
Like me,Like me,Like me,Unlike me,Like me,Unlike me,Like me,Unlike me,Like me,88,0,96,0
Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,99,0,31,0
Like me,Unlike me,Unlike me,Like me,Very like me,Like me,Like me,Like me,Like me,99,0,99,0
Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,99,0,97,0
